============================================================
  Density — SİSTEM LOGLARI
  Kamera  : cam3
  Tarih   : 2026-06-16
  Açıldı  : 2026-06-16 00:00:02
============================================================

[2026-06-16 00:00:02] [SYS] YENİ GÜN: 2026-06-15 -> 2026-06-16
[2026-06-16 11:35:53] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:36:23] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 11:36:54] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:37:24] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:37:55] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:38:25] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:38:56] [DBG] [PERF] FPS=0.5 YOLO=22ms Buf=0/30 Drop=0
[2026-06-16 11:39:26] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:39:57] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 11:40:27] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:40:30] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:40:58] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:41:29] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:41:59] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 11:42:30] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:43:01] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:43:31] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 11:44:02] [DBG] [PERF] FPS=0.5 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 11:44:32] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:45:03] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:45:30] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:45:34] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:46:04] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:46:35] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 11:47:06] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:47:36] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 11:48:07] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:48:38] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:49:08] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:49:39] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:50:09] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
